id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
430427463-2,430427463,1613287239,1435992337,51.48088875915862,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5365052 43.4690798, -80.5362866 43.4695142)"
438272570-0,438272570,4360052389,5840816323,80.82921447285392,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5305451 43.4769675, -80.5302473 43.4765918, -80.5306150 43.4764715)"
438272570-1,438272570,5840816323,4360052271,6.408589543284237,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5306150 43.4764715, -80.5306873 43.4764478)"
440381627-0,440381627,4381024796,4381024792,30.84053064745575,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-80.5460887 43.4691891, -80.5461315 43.4689138)"
440992502-0,440992502,1983396644,5499714271,4.815428252942917,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-80.5417548 43.4699497, -80.5417613 43.4699067)"
440992502-1,440992502,5499714271,5526539917,37.55257941989207,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-80.5417613 43.4699067, -80.5416945 43.4695854, -80.5416914 43.4695732)"
440992502-2,440992502,5526539917,1983404452,1.9457478932849812,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-80.5416914 43.4695732, -80.5416858 43.4695562)"
440992502-3,440992502,1983404452,1983404464,13.957750541878962,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-80.5416858 43.4695562, -80.5416621 43.4694320)"
440992502-4,440992502,1983404464,1983404439,23.90283542520207,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(-80.5416621 43.4694320, -80.5416281 43.4692897, -80.5415912 43.4692247)"
446932866-0,446932866,1015445162,8932478796,6.898691138958951,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5590453 43.4667374, -80.5589609 43.4667468)"
446932866-1,446932866,8932478796,8932510047,17.529613833815276,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5589609 43.4667468, -80.5587464 43.4667705)"
446932866-2,446932866,8932510047,1701347075,19.141623535751386,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5587464 43.4667705, -80.5585122 43.4667965)"
449457766-0,449457766,4464091958,4464091952,48.16917489509091,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5619827 43.4766446, -80.5613913 43.4765892)"
449457766-1,449457766,4464091952,4464091960,43.751002940472375,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5613913 43.4765892, -80.5610552 43.4765577, -80.5610293 43.4767036)"
449457766-2,449457766,4464091960,4464091968,17.56657206913224,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5610293 43.4767036, -80.5610014 43.4768601)"
449457766-3,449457766,4464091968,4464091971,17.03837001770299,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-80.5610014 43.4768601, -80.5609744 43.4770119)"
